INFO  | 2025-01-31 15:48:21 | [main] persistenceunit.SpringPersistenceUnitInfo (SpringPersistenceUnitInfo.java:87) - No LoadTimeWeaver setup: ignoring JPA class transformer
INFO  | 2025-01-31 15:48:21 | [main] hikari.HikariDataSource (HikariDataSource.java:109) - HikariPool-1 - Starting...
INFO  | 2025-01-31 15:48:22 | [main] pool.HikariPool (HikariPool.java:554) - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@141234df
INFO  | 2025-01-31 15:48:22 | [main] hikari.HikariDataSource (HikariDataSource.java:122) - HikariPool-1 - Start completed.
INFO  | 2025-01-31 15:48:22 | [main] internal.JtaPlatformInitiator (JtaPlatformInitiator.java:59) - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
INFO  | 2025-01-31 15:48:22 | [main] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
WARN  | 2025-01-31 15:48:23 | [main] jpa.JpaBaseConfiguration$JpaWebConfiguration (JpaBaseConfiguration.java:236) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
INFO  | 2025-01-31 15:48:24 | [main] web.EndpointLinksResolver (EndpointLinksResolver.java:60) - Exposing 14 endpoints beneath base path '/actuator'
INFO  | 2025-01-31 15:48:25 | [main] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting ProtocolHandler ["http-nio-8080"]
INFO  | 2025-01-31 15:48:25 | [main] tomcat.TomcatWebServer (TomcatWebServer.java:243) - Tomcat started on port 8080 (http) with context path '/bankapp'
INFO  | 2025-01-31 15:48:25 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:56) - Started LabApplication in 7.09 seconds (process running for 7.886)
INFO  | 2025-01-31 15:48:28 | [http-nio-8080-exec-1] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring DispatcherServlet 'dispatcherServlet'
INFO  | 2025-01-31 15:48:28 | [http-nio-8080-exec-1] servlet.FrameworkServlet (FrameworkServlet.java:532) - Initializing Servlet 'dispatcherServlet'
INFO  | 2025-01-31 15:48:28 | [http-nio-8080-exec-1] servlet.FrameworkServlet (FrameworkServlet.java:554) - Completed initialization in 1 ms
INFO  | 2025-01-31 15:48:39 | [http-nio-8080-exec-2] config.LoggableAspect (LoggableAspect.java:18) - Executing method: transferMoney
INFO  | 2025-01-31 15:48:39 | [http-nio-8080-exec-2] config.LoggableAspect (LoggableAspect.java:23) - *****************************************************************************
INFO  | 2025-01-31 15:48:39 | [http-nio-8080-exec-2] config.LoggableAspect (LoggableAspect.java:24) - Execution time: 48 ms
INFO  | 2025-01-31 15:49:17 | [SpringApplicationShutdownHook] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:650) - Closing JPA EntityManagerFactory for persistence unit 'default'
INFO  | 2025-01-31 15:49:17 | [SpringApplicationShutdownHook] hikari.HikariDataSource (HikariDataSource.java:349) - HikariPool-1 - Shutdown initiated...
INFO  | 2025-01-31 15:49:17 | [SpringApplicationShutdownHook] hikari.HikariDataSource (HikariDataSource.java:351) - HikariPool-1 - Shutdown completed.
